Smiles,CDK1,CDK2,CDK4,CDK5,CDK6,CDK7,CDK8,CDK9,,,,
CC1CC2CN1CCn1[nH]c3c(cccc3c1=O)-c1nc3c(cccc3[nH]c1=O)O2,1,1,1,,1,,,,,,,
Cc1cc(CCN2CCCC2)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1,,,,,,,,,,,
Cc1cc(CCN2CCCCC2)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1,,,,,,,,,,,
Cc1cc(CCO)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1,,,,,,,,,,,
Cc1nc[nH]c1C=C1C(=O)Nc2ccc(C(=O)CCl)cc21,1,,,,,,,,,,,
Cc1ncc(-c2nc(Nc3ccc(C(=O)NCCN(C)C)c(F)c3)ncc2F)n1C(C)C,1,1,,,,,,,,,,
CCNCc1cncc(-c2cnc3n[nH]c(-c4nc5cc(F)c(F)cc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3n[nH]c(-c4nc5ccc(OC)cc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCNCc1cncc(-c2cccc3[nH]nc(-c4nc5c(F)cc(F)cc5[nH]4)c23)c1C,1,1,,,,,,,,,,
CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)c(F)cc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)ccc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC)ccc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3c(c2)C(c2nc4cc(F)ccc4[nH]2)N=N3)c1,1,,,,,,,,,,,
CNc1nc(C(F)(F)F)c(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)s1,1,1,,,,1,,1,,,,
CNc1ncc(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)s1,1,1,,,,1,,1,,,,
COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,1,1,1,1,,1,0,,,,,
O=C1Nc2ccc(C(=O)CCl)cc2C1=Cc1cnc[nH]1,1,,,,,,,,,,,
CC(C)c1[nH]nc2c(NCc3ccc(O)cc3)ncnc12,1,,,,,,,,,,,
CC(C)c1[nH]nc2c(NCc3cccc(O)c3)ncnc12,1,,,,,,,,,,,
CCNCc1cncc(-c2ccc3[nH]nc(-c4nc5c(F)cc(F)cc5[nH]4)c3c2)c1C,1,1,,,,,,,,,,
COc1cc(Nc2ncc(Br)c(NC(C)C(C)O)n2)ccc1S(C)(=N)=O,1,1,,,,,,,,,,
COc1cc(Nc2ncc(Br)c(NC(C)C(C)(C)O)n2)ccc1S(C)(=N)=O,1,1,,,,,,,,,,
COc1ccc(CNc2ncnc3c(C(C)C)[nH]nc23)cc1,1,,,,,,,,,,,
CC(C)(Nc1ccc(Cl)c(C(=O)NCC(N)=O)c1)C(=O)Nc1nc2c(C(F)(F)F)cc3[nH]ncc3c2s1,1,1,,,,,,,,,,
CC(C)COc1nc(Nc2ccc3[nH]cnc3c2)ncc1C(F)(F)F,1,,,,,,,,,,,
CC(C)COc1nc(Nc2ccc3nc[nH]c3c2)ncc1C(F)(F)F,1,,,,,,,,,,,
Cc1cc(CCN2CCOCC2)ccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1,,,,,,,,,,,
CCN(CC)Cc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,1,,,,,,,,,,,
CCN(CC)Cc1cccc2nc(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)[nH]c12,1,,,,,,,,,,,
CNC1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cnc(C)n4C(C)C)n3)cc2)C1,1,1,,,,,,,,,,
CNc1nc(C(F)(F)F)c(-c2ccnc(Nc3cccc(S(N)(=O)=O)c3)n2)s1,1,1,,,,1,,1,,,,
CNc1nc(C2CC2)c(-c2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)s1,1,1,,,,1,,1,,,,
COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1,1,1,1,1,1,1,,1,,,,
NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,1,,,,,1,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1sccc1F,1,,,,,,,,,,,
Cc1ccc(F)c(C(=O)n2nc(Nc3ccc(S(N)(=O)=O)cc3)nc2C)c1F,1,1,1,,,,,,,,,
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,1,1,1,1,,1,,1,,,,
CN1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1,1,1,,1,,1,,1,,,,
CS(=O)(=O)N(CCN)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1,1,,,,,,,,,,,
NC(=O)c1ccc2c(c1)C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1,1,,,,,,,,,,
CC(O)C(C)Nc1nc(Nc2ccc(S(=N)(=O)CCO)cc2)ncc1Br,1,1,,,,,,,,,,
CC(O)C(C)Oc1nc(Nc2ccc(S(=O)(=O)CCO)cc2)ncc1C(F)(F)F,1,1,,,,,,,,,,
CC(C)c1[nH]nc2c(NCc3ccco3)ncnc12,1,,,,,,,,,,,
CC(C)n1cnc2c(NCc3cccc(O)c3)ncnc21,1,,,,,,,,,,,
CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(NC(C)C(C)O)n2)cc1,1,1,,,,,,,,,,
Cc1ccc(Nc2nccc(-c3sc(=O)n(C)c3C)n2)cc1[N+](=O)[O-],1,1,1,,,1,,1,,,,
Cc1cc(C)c(C(=O)n2nc(Nc3ccc(S(N)(=O)=O)cc3)nc2N)s1,1,,,,,,,,,,,
Cc1ccccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1,,,,,,,,,,,
Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12,1,1,,1,,,,1,,,,
Cc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)ccc(F)c1F,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5ccc(N6CCN(C)CC6)cc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(N6CCN(C)CC6)ccc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CN1CCN(C(=O)c2cc(Nc3ncc4cc(C=NO)n(C5CCCC5)c4n3)cn2C)CC1,1,,,,,,,,,,,
CN1CCN(C(=O)c2cc(Nc3ncc4cc(CN=O)n(C5CCCC5)c4n3)cn2C)CC1,1,,,,,,,,,,,
CNCc1cncc(-c2cnc3n[nH]c(-c4nc5cccc(COC)c5[nH]4)c3c2)c1,1,,,,,,,,,,,
CNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,1,,,,,,,,,,,
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)ccc3C)c2N)cc1,1,,,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1cccc(Cl)c1,1,,,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3nc[nH]c3c2)nc1Nc1cccc(Cl)c1,1,,,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)n(C(=S)Nc2c(F)cccc2F)n1,1,,,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)ccc(F)c1F,1,,,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)n(C(=S)c2c(F)cccc2F)n1,1,,,,,,,,,,,
Cc1cc(Nc2ncc(Br)c(NC(C)C(C)(C)O)n2)ccc1S(C)(=N)=O,1,1,,,,,,,,,,
CC(O)C(C)Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F,1,1,1,,,,,,,,,
CC(C)(C)c1cnc(CSc2cnc(Nc3ccccn3)s2)o1,1,1,1,,,,,,,,,
CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,1,1,1,1,,,,,,,,
CC(C)n1cnc2c(NCc3ccccc3)ncnc21,1,,,,,,,,,,,
CC(C)n1cnc2c(NCc3ccccc3O)ncnc21,1,,,,,,,,,,,
CS(=O)(=O)N(CCO)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1,1,,,,,,,,,,,
CC(O)C(C)Oc1nc(Nc2ccc([S+](N)[O-])cc2)ncc1Br,1,1,,,,,,,,,,
Cc1cc(Nc2ncc(Br)c(NC(C)C(C)O)n2)ccc1S(C)(=N)=O,1,1,,,,,,,,,,
CC(C)n1cnc2c(NCc3ccc(O)cc3)ncnc21,1,,,,,,,,,,,
Cc1ccccc1Oc1nc(Nc2ccc3[nH]cnc3c2)ncc1C(F)(F)F,1,,,,,,,,,,,
Cc1ccccc1Oc1nc(Nc2ccc3nc[nH]c3c2)ncc1C(F)(F)F,1,,,,,,,,,,,
CCCC(=O)Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12,1,1,,1,,1,,1,,,,
CNc1nc(C)c(-c2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2F)s1,1,1,,,,1,,1,,,,
CNc1ncc(-c2ccnc(Nc3cccc(S(N)(=O)=O)c3)n2)s1,1,1,,,,1,,1,,,,
COc1ccc(CNc2ncnc3c2ncn3C(C)C)cc1,1,,,,,,,,,,,
COc1ccc(Nc2nccc(-c3ccc4nc(C)n(C(C)C)c4c3)n2)cc1,1,,1,,,,,,,,,
COCCNS(=O)(=O)c1ccc(Nc2nccc(-c3sc(=O)n(C)c3C)n2)cc1,1,1,,,,1,,1,,,,
FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc(Cl)cc1,1,,,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3nc[nH]c3c2)nc1Nc1ccc(Cl)cc1,1,,,,,,,,,,,
Fc1ccc(Nc2nc(Nc3ccc4[nH]cnc4c3)ncc2Br)cc1,1,,,,,,,,,,,
Fc1ccc(Nc2nc(Nc3ccc4nc[nH]c4c3)ncc2Br)cc1,1,,,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)Nc1c(F)cccc1F,1,,,,,,,,,,,
CC(C)=CCNc1ncnc2c(C(C)C)[nH]nc12,1,,,,,,,,,,,
Cc1ccsc1C(=O)n1nc(Nc2ccc(S(N)(=O)=O)cc2)nc1N,1,1,1,,,,,,,,,
CN1CCC(c2c(O)cc(O)c3c(=O)cc(C=Cc4c(Cl)cccc4Cl)oc23)C(O)C1,1,1,1,,1,1,,1,,,,
COc1cc(Nc2ncc(Br)c(OC(C)C(C)O)n2)ccc1S(C)(=N)=O,1,1,,,,,,,,,,
COc1ccc(CNc2ncnc3c2ncn3C(C)C)cc1O,1,,,,,,,,,,,
CS(=O)(=O)N(CCCN1CCOCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,1,,,,,,,,,,,
CS(=O)(=O)N(CCN)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,1,,,,,,,,,,,
CS(=O)(=O)N(CCO)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,1,,,,,,,,,,,
O=C(Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12)c1ccccc1,1,,,1,,,,,,,,
O=Nc1c(-c2c(O)[nH]c3ccc(I)cc23)[nH]c2ccccc12,1,,,,,,,,,,,
OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,1,1,1,1,,1,,1,,,,
CC(Nc1nc(Nc2ccc(S(=N)(=O)CC3CC3)cc2)ncc1Br)C(C)(C)O,1,1,,,,,,,,,,
CC(Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)(C)O,1,1,,,,,,,,,,
CC(O)C(C)Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br,1,1,,,,,,,,,,
CC(=O)N1CCC(Nc2ncc3c(n2)-c2c(c(C(N)=O)nn2C)CC3)CC1,1,1,,1,,,,,,,,
Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCCN(C)CC4)cc3)ncc2F)n1C(C)C,1,1,,,,,,,,,,
Cc1nc2ccccn2c1-c1ccnc(Nc2ccc(OCC(O)CN(C)C)cc2)n1,1,1,1,,,,,,,,,
CNc1nc(C)c(-c2ccnc(Nc3cccc([N+](=O)[O-])c3)n2)s1,1,1,,,,1,,1,,,,
COc1cc(F)c(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,1,1,1,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1cccs1,1,,,,,,,,,,,
O=C1Nc2ccc(S(=O)(=O)O)cc2C1=C1Nc2ccccc2C1=NO,1,,,,,,,,,,,
O=Nc1c(C2C(=O)Nc3ccc(S(=O)(=O)O)cc32)[nH]c2ccccc12,1,,,,,,,,,,,
CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)c[nH]c2nncc1-2,1,1,,1,,,,,,,,
CNc1nc(C)c(-c2ccnc(Nc3cccc(S(N)(=O)=O)c3)n2)s1,1,1,1,,,1,,1,,,,
CS(=O)(=O)N(CCCN1CCCCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,1,,,,,,,,,,,
CS(=O)(=O)N(CCCO)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cc1,1,,,,,,,,,,,
Nc1nc(N)c(N=O)c(=O)[nH]1,1,1,1,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,1,1,1,1,,1,0,1,,,,
Cc1nc(C)c(-c2[nH]nc3c2C(=O)c2c(NC(=O)NN4CCN(C)CC4)cccc2-3)s1,1,1,1,,,,,,,,,
CCCCOc1c(C(=O)c2c(F)cc(C)cc2F)cnc2[nH]ncc12,1,1,1,,,,,,,,,
CN1CCN(C(=O)c2cc(Nc3ncc4cc(C#N)n(C5CCCC5)c4n3)cn2C)CC1,1,,,,,,,,,,,
Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,1,1,1,1,,,,,,,,
CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,1,1,1,1,,,,,,,,
CNc1nc(C)c(-c2nc(Nc3cccc([N+](=O)[O-])c3)ncc2C#N)s1,1,1,,,,1,,1,,,,
COc1cc(-c2ccc3c(c2)Nc2ccc([N+](=O)[O-])cc2NC3=O)ccc1O,1,1,,1,,,,1,,,,
COCc1cccc2[nH]c(-c3n[nH]c4ncc(-c5cncc6ccccc56)cc34)nc12,1,,,,,,,,,,,
COCc1cccc2nc(-c3[nH]nc4ncc(-c5cncc6ccccc56)cc34)[nH]c12,1,,,,,,,,,,,
COCCCNS(=O)(=O)c1ccc(Nc2nccc(-c3cnc4ccccn34)n2)cc1,1,1,,,,,,,,,,
CC(Nc1ccc(S(N)(=O)=O)cc1)=C1C(=O)Nc2ccc(-c3cnco3)cc21,1,1,,,,,,,,,,
CC(=Nc1ccc(S(N)(=O)=O)cc1)C1C(=O)Nc2ccc(-c3cnco3)cc21,1,1,,,,,,,,,,
CCCCCNc1ncnc2c1ncn2C(C)C,1,,,,,,,,,,,
CS(=O)(=O)Nc1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1,1,,,,,,,,,,,
CC(Nc1nc(Nc2ccc(S(=N)(=O)CCO)cc2)ncc1Br)C(C)(C)O,1,1,,,,,,,,,,
CC(O)C(C)Oc1nc(Nc2ccc(S(=N)(=O)C3CC3)cc2)ncc1C(F)(F)F,1,1,1,1,,1,,1,,,,
CC(C)(C)c1cnc(CSc2cnc(Nc3ccncc3)s2)o1,1,,1,,,,,,,,,
CC(C)(C)c1cnc(CSc2cnc(Nc3ccncn3)s2)o1,1,1,1,,,,,,,,,
Cc1nc(N)sc1-c1nc(Nc2cccc(S(N)(=O)=O)c2)ncc1F,1,1,,,,1,,1,,,,
CCCCOc1c(C(=O)c2c(F)cc(OC)cc2F)c[nH]c2nncc1-2,1,,1,,,,,,,,,
CCCCOc1c(C(=O)c2c(F)cc(OC)cc2F)cnc2[nH]ncc12,1,1,1,,,,,,,,,
CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cccc(COC)c5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCCNCc1cncc(-c2cnc3[nH]nc(-c4nc5c(COC)cccc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CCN(CC)c1cc(-c2ccnc(Nc3cccc(S(N)(=O)=O)c3)n2)ccn1,1,1,,,,,,,,,,
CN=S(C)(=O)c1ccc(Nc2ncc(Br)c(NC(C)C(C)O)n2)cc1OC,1,1,,,,,,,,,,
CC(O)C(C)Oc1nc(Nc2ccc(S(=O)(=O)C3CC3)cc2)ncc1C(F)(F)F,1,1,1,,,,,,,,,
CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(NC(C)C(C)(C)O)n2)cc1,1,1,,,,,,,,,,
Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C(=O)c1ccccc1[N+](=O)[O-],1,1,1,1,1,,,1,,,,
Cc1ccc(F)c(C(=O)n2nc(Nc3ccc(S(N)(=O)=O)cc3)nc2N)c1F,1,1,,,,,,,,,,
CCN1CCc2cc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)ccc2C1,1,,,,,,,,,,,
COc1ccc(Nc2nc(Nc3ccc4[nH]cnc4c3)ncc2C(F)(F)F)cc1,1,,1,,,,,,,,,
COc1ccc(Nc2nc(Nc3ccc4nc[nH]c4c3)ncc2C(F)(F)F)cc1,1,,1,,,,,,,,,
CC(Oc1nc(Nc2ccc(S(C)(=O)=O)cc2)ncc1C(F)(F)F)C(C)(C)O,1,1,1,,,,,,,,,
COc1cccc(OC)c1CNC(=O)c1ccc2c(c1)C(=NNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1,1,,,,,,,,,,
NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1,1,,,1,,,,,,,,
Brc1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc2c(c1)OCO2,1,,,,,,,,,,,
Brc1cnc(Nc2ccc3nc[nH]c3c2)nc1Nc1ccc2c(c1)OCO2,1,,,,,,,,,,,
c1ccc2c(-c3cnc4[nH]nc(-c5nc6cc(N7CCOCC7)ccc6[nH]5)c4c3)cncc2c1,1,,,,,,,,,,,
c1ccc2c(-c3cnc4[nH]nc(-c5nc6ccc(N7CCOCC7)cc6[nH]5)c4c3)cncc2c1,1,,,,,,,,,,,
CC(C)n1cnc2c(NCc3ccco3)ncnc21,1,,,,,,,,,,,
Clc1cccc(Nc2ncc(Br)c(Nc3ccc4[nH]cnc4c3)n2)c1,1,,,,,,,,,,,
Clc1cccc(Nc2ncc(Br)c(Nc3ccc4nc[nH]c4c3)n2)c1,1,,,,,,,,,,,
Clc1ccccc1Nc1nccc(-c2c[nH]c3ncccc23)n1,1,,,,,,,,,,,
CNC1CCN(C(=O)c2ccc(Nc3nccc(-c4cnc(C)n4C(C)C)n3)cc2)C1,1,1,,,,,,,,,,
CN1CCC(c2c(O)cc(O)c3c2OC(=Cc2ccc(S(N)(=O)=O)cc2)C3=O)CC1,1,1,,,,,,,,,,
CNCc1cncc(-c2cnc3[nH]nc(-c4nc5ccc(OC(F)(F)F)cc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(OC(F)(F)F)ccc5[nH]4)c3c2)c1,1,,,,,,,,,,,
CNS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,1,1,,,,,,,,,,
CC(C)(C)c1cnc(CSc2cnc(NC(=O)Nc3c(F)cccc3F)s2)o1,1,1,1,,,,,,,,,
CC(C)(C)c1cnc(CSc2cnc(Nc3cccnc3)s2)o1,1,1,1,,,,,,,,,
CC(C)C(CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,1,,,,,,,,,,,
CN(C)CCN(c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1)S(C)(=O)=O,1,,,,,,,,,,,
Cn1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cc1C(=O)N1CCCC1C(N)=O,1,,,,,,,,,,,
Cn1cc(Nc2ncc3cnn(C4CC5CC5C4)c3n2)cc1C(=O)N1CCCC1CO,1,,,,,,,,,,,
CS(=O)(=O)N(CCN1CCCC1)c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)cn1,1,,,,,,,,,,,
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(-c4cnco4)cc32)cc1,1,1,,,,,,,,,,
Oc1ccc2oc3ncc(O)c(-c4ccccc4)c3c2c1,1,,,1,0,,,,,,,
CC(O)C(C)Nc1nc(Nc2ccc([S+](N)[O-])cc2)ncc1Br,1,1,,,,,,,,,,
CC(C)(C)c1cnc(CSc2cnc(Nc3ccc(S(=O)(=O)NCCO)cc3)s2)o1,1,1,1,,,,,,,,,
O=C1Nc2ccc(C(=O)CCl)cc2C1=Cc1ccc[nH]1,1,,,,,,,,,,,
CN(C)CCCOc1cc2c(cc1O)c1c3c(c(-c4ccccc4Cl)cc1n2C)C(=O)NC3=O,1,,,,,,,,,,,
CNc1nc(C)c(-c2nc(Nc3cccc(S(=O)(=O)NCCOC)c3)ncc2F)s1,1,1,,,,1,,1,,,,
N#CNc1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4nc[nH]c4c3)n2)cc1NC#N,1,,1,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3[nH]cnc3c2)nc1Nc1ccc2[nH]cnc2c1,1,,,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc3nc[nH]c3c2)nc1Nc1ccc2nc[nH]c2c1,1,,,,,,,,,,,
O=C(Nc1ccc(F)cc1)c1[nH]ncc1NC(=O)c1c(F)cccc1F,1,1,,,,,,,,,,
N#CNc1ccc(Nc2ncc(C(F)(F)F)c(Nc3ccc4[nH]cnc4c3)n2)cc1NC#N,1,,1,,,,,,,,,
O=C(Nc1ccc(F)cc1)c1n[nH]cc1NC(=O)c1c(F)cccc1F,1,1,,,,,,,,,,
O=C(Nc1cccc(OCC2CCCN2)n1)Nc1csc(-c2ccncc2)n1,1,1,,,,,,,,,,
O=C(Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12)c1cccc(F)c1,1,,,1,,1,,1,,,,
CC(C)c1[nH]nc2c(NCc3ccccc3Br)ncnc12,1,,,,,,,,,,,
CC(C)COc1ccc2sc3c(c2c1)NCC(C)NC3=O,1,,,,,,,,,,,
Cc1ncc(-c2nc(Nc3ccc(C(=O)N4CCC(N(C)C)C4)cc3)ncc2F)n1C(C)C,1,1,,,,,,,,,,
COCC(Nc1nc(Nc2ccc(S(C)(=N)=O)cc2)ncc1Br)C(C)O,1,1,,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc(Br)cc2)nc1Nc1ccc2[nH]cnc2c1,1,,1,,,,,,,,,
FC(F)(F)c1cnc(Nc2ccc(Br)cc2)nc1Nc1ccc2nc[nH]c2c1,1,,1,,,,,,,,,
CC(C)(C)c1cnc(CSc2cnc(Nc3ccccc3)s2)o1,1,1,1,,,,,,,,,
COC(=O)c1ccc2c(c1)C(=CNc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1,1,,,,,,,,,,
COC(=O)c1ccc2c(c1)C(C=Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,1,1,,,,,,,,,,
COc1ccc2sc3c(c2c1)NCC(C)NC3=O,1,,,,,,,,,,,
NS(=O)(=O)c1ccc(N=Nc2c(=O)[nH]c3ccc4[nH]cccc4c23)cc1,1,1,,,,,,,,,,
NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc4ncccc4c32)cc1,1,1,,,,,,,,,,
CC(O)C(C)Oc1nc(Nc2ccc(S(=O)(=O)C(C)C)cc2)ncc1C(F)(F)F,1,1,,,,,,,,,,
Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,1,1,,,,,,,,,,
CCN1CCc2nc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)c(F)cn3)ccc2C1,1,,,,,,,,,,,
CCN1CCc2nc(Nc3cc(-c4cc(F)c5nc(C)n(C(C)C)c5c4)ncn3)ccc2C1,1,,,,,,,,,,,
O=C(Cc1ccc(Cl)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,1,1,,,,,,,,,,
